

Timestamp reset
0 Connected
Can receive synchronous retained messages
49:49 Subscribed
51:2 Sending msg:0
53:2 Sending msg:1
54:1 Sending msg:2
54:0 Sending msg:3
54:0 Sending msg:4
54:0 Sending msg:5
54:0 Sending msg:6
54:0 Sending msg:7
55:1 Sending msg:8
55:0 Sending msg:9
55:0 Sending msg:10
55:0 Sending msg:11
55:0 Sending msg:12
55:0 Sending msg:13
55:0 Sending msg:14
55:0 Sending msg:15
56:1 Sending msg:16
56:0 Sending msg:17
56:0 Sending msg:18
57:1 Sending msg:19
57:0 Sending msg:20
57:0 Sending msg:21
57:0 Sending msg:22
57:0 Sending msg:23
57:0 Sending msg:24
57:0 Sending msg:25
58:1 Sending msg:26
58:0 Sending msg:27
58:0 Sending msg:28
58:0 Sending msg:29
58:0 Sending msg:30
58:0 Sending msg:31
58:0 Sending msg:32
58:0 Sending msg:33
59:1 Sending msg:34
59:0 Sending msg:35
59:0 Sending msg:36
59:0 Sending msg:37
59:0 Sending msg:38
59:0 Sending msg:39
59:0 Sending msg:40
59:0 Sending msg:41
59:0 Sending msg:42
59:0 Sending msg:43
60:1 Sending msg:44
60:0 Sending msg:45
60:0 Sending msg:46
60:0 Sending msg:47
60:0 Sending msg:48
60:0 Sending msg:49
60:0 Sending msg:50
60:0 Sending msg:51
60:0 Sending msg:52
61:1 Sending msg:53
61:0 Sending msg:54
61:0 Sending msg:55
61:0 Sending msg:56
62:1 Sending msg:57
62:0 Sending msg:58
65:3 Sending msg:59
67:2 Sending msg:60
67:0 Sending msg:61
68:1 Sending msg:62
68:0 Sending msg:63
69:1 Sending msg:64
70:1 Sending msg:65
70:0 Sending msg:66
70:0 Sending msg:67
70:0 Sending msg:68
70:0 Sending msg:69
70:0 Sending msg:70
70:0 Sending msg:71
70:0 Sending msg:72
71:1 Sending msg:73
71:0 Sending msg:74
71:0 Sending msg:75
71:0 Sending msg:76
72:1 Sending msg:77
72:0 Sending msg:78
72:0 Sending msg:79
72:0 Sending msg:80
72:0 Sending msg:81
72:0 Sending msg:82
72:0 Sending msg:83
73:1 Sending msg:84
73:0 Sending msg:85
73:0 Sending msg:86
73:0 Sending msg:87
73:0 Sending msg:88
73:0 Sending msg:89
73:0 Sending msg:90
73:0 Sending msg:91
73:0 Sending msg:92
73:0 Sending msg:93
73:0 Sending msg:94
74:1 Sending msg:95
74:0 Sending msg:96
74:0 Sending msg:97
74:0 Sending msg:98
74:0 Sending msg:99
144:70 Received msg:0
175:31 Received msg:1
200:25 Received msg:2
243:43 Received msg:3
319:76 Received msg:4
354:35 Received msg:5
389:35 Received msg:6
416:27 Received msg:7
430:14 Received msg:8
447:17 Received msg:9
469:22 Received msg:10
491:22 Received msg:11
501:10 Received msg:12
527:26 Received msg:13
540:13 Received msg:14
554:14 Received msg:15
566:12 Received msg:16
577:11 Received msg:17
589:12 Received msg:18
609:20 Received msg:19
620:11 Received msg:20
629:9 Received msg:21
643:14 Received msg:22
657:14 Received msg:23
667:10 Received msg:24
677:10 Received msg:25
691:14 Received msg:26
705:14 Received msg:27
728:23 Received msg:28
758:30 Received msg:29
794:36 Received msg:30
812:18 Received msg:31
823:11 Received msg:32
833:10 Received msg:33
843:10 Received msg:34
855:12 Received msg:35
864:9 Received msg:36
875:11 Received msg:37
884:9 Received msg:38
896:12 Received msg:39
909:13 Received msg:40
920:11 Received msg:41
935:15 Received msg:42
950:15 Received msg:43
963:13 Received msg:44
974:11 Received msg:45
994:20 Received msg:46
1011:17 Received msg:47
1027:16 Received msg:48
1045:18 Received msg:49
1056:11 Received msg:50
1066:10 Received msg:51
1076:10 Received msg:52
1085:9 Received msg:53
1096:11 Received msg:54
1108:12 Received msg:55
1118:10 Received msg:56
1131:13 Received msg:57
1141:10 Received msg:58
1153:12 Received msg:59
1172:19 Received msg:60
1190:18 Received msg:61
1212:22 Received msg:62
1233:21 Received msg:63
1251:18 Received msg:64
1278:27 Received msg:65
1299:21 Received msg:66
1306:7 Received msg:67
1312:6 Received msg:68
1316:4 Received msg:69
1320:4 Received msg:70
1324:4 Received msg:71
1328:4 Received msg:72
1332:4 Received msg:73
1340:8 Received msg:74
1344:4 Received msg:75
1348:4 Received msg:76
1353:5 Received msg:77
1356:3 Received msg:78
1360:4 Received msg:79
1364:4 Received msg:80
1372:8 Received msg:81
1379:7 Received msg:82
1386:7 Received msg:83
1394:8 Received msg:84
1402:8 Received msg:85
1409:7 Received msg:86
1415:6 Received msg:87
1425:10 Received msg:88
1435:10 Received msg:89
1446:11 Received msg:90
1457:11 Received msg:91
1467:10 Received msg:92
1476:9 Received msg:93
1483:7 Received msg:94
1490:7 Received msg:95
1496:6 Received msg:96
1503:7 Received msg:97
1508:5 Received msg:98
1515:7 Received msg:99

Timestamp reset
0 Connected
Can ping back messages to test roundtrip time
19:19 Subscribed
20:1 Sending msg:0
39:19 Received msg:0
39:0 Sending msg:1
55:16 Received msg:1
55:0 Sending msg:2
70:15 Received msg:2
70:0 Sending msg:3
87:17 Received msg:3
87:0 Sending msg:4
102:15 Received msg:4
102:0 Sending msg:5
121:19 Received msg:5
121:0 Sending msg:6
143:22 Received msg:6
144:1 Sending msg:7
165:21 Received msg:7
165:0 Sending msg:8
184:19 Received msg:8
184:0 Sending msg:9
207:23 Received msg:9
207:0 Sending msg:10
235:28 Received msg:10
236:1 Sending msg:11
263:27 Received msg:11
263:0 Sending msg:12
292:29 Received msg:12
292:0 Sending msg:13
329:37 Received msg:13
329:0 Sending msg:14
354:25 Received msg:14
355:1 Sending msg:15
378:23 Received msg:15
378:0 Sending msg:16
409:31 Received msg:16
410:1 Sending msg:17
445:35 Received msg:17
445:0 Sending msg:18
465:20 Received msg:18
466:1 Sending msg:19
491:25 Received msg:19
492:1 Sending msg:20
515:23 Received msg:20
515:0 Sending msg:21
541:26 Received msg:21
542:1 Sending msg:22
570:28 Received msg:22
570:0 Sending msg:23
594:24 Received msg:23
594:0 Sending msg:24
613:19 Received msg:24
613:0 Sending msg:25
636:23 Received msg:25
637:1 Sending msg:26
655:18 Received msg:26
655:0 Sending msg:27
676:21 Received msg:27
676:0 Sending msg:28
705:29 Received msg:28
706:1 Sending msg:29
736:30 Received msg:29
736:0 Sending msg:30
758:22 Received msg:30
760:2 Sending msg:31
799:39 Received msg:31
799:0 Sending msg:32
821:22 Received msg:32
821:0 Sending msg:33
841:20 Received msg:33
841:0 Sending msg:34
866:25 Received msg:34
866:0 Sending msg:35
884:18 Received msg:35
884:0 Sending msg:36
907:23 Received msg:36
907:0 Sending msg:37
943:36 Received msg:37
943:0 Sending msg:38
973:30 Received msg:38
973:0 Sending msg:39
1003:30 Received msg:39
1003:0 Sending msg:40
1037:34 Received msg:40
1037:0 Sending msg:41
1060:23 Received msg:41
1061:1 Sending msg:42
1092:31 Received msg:42
1092:0 Sending msg:43
1115:23 Received msg:43
1115:0 Sending msg:44
1139:24 Received msg:44
1139:0 Sending msg:45
1164:25 Received msg:45
1165:1 Sending msg:46
1187:22 Received msg:46
