Timestamp reset
0 Connected
Can receive synchronous retained messages
41:41 Subscribed
43:2 Sending msg:0
45:2 Sending msg:1
46:1 Sending msg:2
46:0 Sending msg:3
47:1 Sending msg:4
47:0 Sending msg:5
47:0 Sending msg:6
47:0 Sending msg:7
47:0 Sending msg:8
47:0 Sending msg:9
47:0 Sending msg:10
47:0 Sending msg:11
48:1 Sending msg:12
48:0 Sending msg:13
48:0 Sending msg:14
48:0 Sending msg:15
48:0 Sending msg:16
48:0 Sending msg:17
48:0 Sending msg:18
49:1 Sending msg:19
49:0 Sending msg:20
49:0 Sending msg:21
49:0 Sending msg:22
49:0 Sending msg:23
49:0 Sending msg:24
49:0 Sending msg:25
49:0 Sending msg:26
49:0 Sending msg:27
50:1 Sending msg:28
50:0 Sending msg:29
50:0 Sending msg:30
50:0 Sending msg:31
50:0 Sending msg:32
50:0 Sending msg:33
50:0 Sending msg:34
50:0 Sending msg:35
50:0 Sending msg:36
50:0 Sending msg:37
50:0 Sending msg:38
51:1 Sending msg:39
51:0 Sending msg:40
51:0 Sending msg:41
51:0 Sending msg:42
51:0 Sending msg:43
51:0 Sending msg:44
51:0 Sending msg:45
51:0 Sending msg:46
51:0 Sending msg:47
51:0 Sending msg:48
52:1 Sending msg:49
52:0 Sending msg:50
52:0 Sending msg:51
52:0 Sending msg:52
52:0 Sending msg:53
52:0 Sending msg:54
52:0 Sending msg:55
52:0 Sending msg:56
53:1 Sending msg:57
53:0 Sending msg:58
53:0 Sending msg:59
53:0 Sending msg:60
53:0 Sending msg:61
53:0 Sending msg:62
54:1 Sending msg:63
55:1 Sending msg:64
55:0 Sending msg:65
56:1 Sending msg:66
56:0 Sending msg:67
56:0 Sending msg:68
56:0 Sending msg:69
56:0 Sending msg:70
56:0 Sending msg:71
56:0 Sending msg:72
56:0 Sending msg:73
57:1 Sending msg:74
57:0 Sending msg:75
57:0 Sending msg:76
57:0 Sending msg:77
57:0 Sending msg:78
57:0 Sending msg:79
57:0 Sending msg:80
57:0 Sending msg:81
57:0 Sending msg:82
57:0 Sending msg:83
57:0 Sending msg:84
57:0 Sending msg:85
58:1 Sending msg:86
58:0 Sending msg:87
58:0 Sending msg:88
58:0 Sending msg:89
61:3 Sending msg:90
63:2 Sending msg:91
63:0 Sending msg:92
64:1 Sending msg:93
64:0 Sending msg:94
65:1 Sending msg:95
65:0 Sending msg:96
65:0 Sending msg:97
66:1 Sending msg:98
66:0 Sending msg:99
165:99 Received msg:0
175:10 Received msg:1
206:31 Received msg:2
242:36 Received msg:3
270:28 Received msg:4
294:24 Received msg:5
326:32 Received msg:6
360:34 Received msg:7
382:22 Received msg:8
394:12 Received msg:9
403:9 Received msg:10
410:7 Received msg:11
421:11 Received msg:12
509:88 Received msg:13
541:32 Received msg:14
567:26 Received msg:15
580:13 Received msg:16
589:9 Received msg:17
599:10 Received msg:18
611:12 Received msg:19
623:12 Received msg:20
631:8 Received msg:21
639:8 Received msg:22
681:42 Received msg:23
714:33 Received msg:24
728:14 Received msg:25
735:7 Received msg:26
742:7 Received msg:27
755:13 Received msg:28
802:47 Received msg:29
820:18 Received msg:30
834:14 Received msg:31
845:11 Received msg:32
850:5 Received msg:33
854:4 Received msg:34
868:14 Received msg:35
874:6 Received msg:36
879:5 Received msg:37
885:6 Received msg:38
891:6 Received msg:39
896:5 Received msg:40
901:5 Received msg:41
930:29 Received msg:42
941:11 Received msg:43
946:5 Received msg:44
951:5 Received msg:45
957:6 Received msg:46
963:6 Received msg:47
971:8 Received msg:48
978:7 Received msg:49
982:4 Received msg:50
988:6 Received msg:51
994:6 Received msg:52
999:5 Received msg:53
1004:5 Received msg:54
1018:14 Received msg:55
1024:6 Received msg:56
1033:9 Received msg:57
1040:7 Received msg:58
1051:11 Received msg:59
1058:7 Received msg:60
1064:6 Received msg:61
1070:6 Received msg:62
1081:11 Received msg:63
1173:92 Received msg:64
1188:15 Received msg:65
1196:8 Received msg:66
1202:6 Received msg:67
1207:5 Received msg:68
1215:8 Received msg:69
1221:6 Received msg:70
1228:7 Received msg:71
1235:7 Received msg:72
1241:6 Received msg:73
1244:3 Received msg:74
