

Timestamp reset
0 Connected
Can receive synchronous retained messages
32:32 Subscribed
34:2 Sending msg:0
36:2 Sending msg:1
36:0 Sending msg:2
37:1 Sending msg:3
37:0 Sending msg:4
37:0 Sending msg:5
37:0 Sending msg:6
37:0 Sending msg:7
37:0 Sending msg:8
37:0 Sending msg:9
37:0 Sending msg:10
38:1 Sending msg:11
38:0 Sending msg:12
38:0 Sending msg:13
38:0 Sending msg:14
38:0 Sending msg:15
38:0 Sending msg:16
38:0 Sending msg:17
39:1 Sending msg:18
39:0 Sending msg:19
39:0 Sending msg:20
39:0 Sending msg:21
39:0 Sending msg:22
39:0 Sending msg:23
39:0 Sending msg:24
39:0 Sending msg:25
39:0 Sending msg:26
39:0 Sending msg:27
39:0 Sending msg:28
40:1 Sending msg:29
40:0 Sending msg:30
40:0 Sending msg:31
40:0 Sending msg:32
40:0 Sending msg:33
40:0 Sending msg:34
40:0 Sending msg:35
40:0 Sending msg:36
40:0 Sending msg:37
40:0 Sending msg:38
40:0 Sending msg:39
41:1 Sending msg:40
41:0 Sending msg:41
41:0 Sending msg:42
41:0 Sending msg:43
41:0 Sending msg:44
41:0 Sending msg:45
41:0 Sending msg:46
41:0 Sending msg:47
41:0 Sending msg:48
41:0 Sending msg:49
41:0 Sending msg:50
42:1 Sending msg:51
42:0 Sending msg:52
42:0 Sending msg:53
42:0 Sending msg:54
42:0 Sending msg:55
42:0 Sending msg:56
43:1 Sending msg:57
43:0 Sending msg:58
43:0 Sending msg:59
43:0 Sending msg:60
43:0 Sending msg:61
43:0 Sending msg:62
44:1 Sending msg:63
45:1 Sending msg:64
46:1 Sending msg:65
46:0 Sending msg:66
46:0 Sending msg:67
47:1 Sending msg:68
47:0 Sending msg:69
47:0 Sending msg:70
47:0 Sending msg:71
47:0 Sending msg:72
47:0 Sending msg:73
47:0 Sending msg:74
47:0 Sending msg:75
47:0 Sending msg:76
47:0 Sending msg:77
47:0 Sending msg:78
48:1 Sending msg:79
48:0 Sending msg:80
48:0 Sending msg:81
48:0 Sending msg:82
48:0 Sending msg:83
48:0 Sending msg:84
48:0 Sending msg:85
48:0 Sending msg:86
48:0 Sending msg:87
48:0 Sending msg:88
48:0 Sending msg:89
49:1 Sending msg:90
49:0 Sending msg:91
49:0 Sending msg:92
49:0 Sending msg:93
49:0 Sending msg:94
52:3 Sending msg:95
52:0 Sending msg:96
53:1 Sending msg:97
53:0 Sending msg:98
53:0 Sending msg:99
102:49 Received msg:0
115:13 Received msg:1
131:16 Received msg:2
151:20 Received msg:3
166:15 Received msg:4
180:14 Received msg:5
198:18 Received msg:6
220:22 Received msg:7
236:16 Received msg:8
250:14 Received msg:9
271:21 Received msg:10
285:14 Received msg:11
298:13 Received msg:12
314:16 Received msg:13
329:15 Received msg:14
348:19 Received msg:15
363:15 Received msg:16
373:10 Received msg:17
386:13 Received msg:18
411:25 Received msg:19
444:33 Received msg:20
456:12 Received msg:21
468:12 Received msg:22
482:14 Received msg:23
495:13 Received msg:24
507:12 Received msg:25
519:12 Received msg:26
535:16 Received msg:27
549:14 Received msg:28
565:16 Received msg:29
581:16 Received msg:30
599:18 Received msg:31
609:10 Received msg:32
618:9 Received msg:33
628:10 Received msg:34
636:8 Received msg:35
644:8 Received msg:36
652:8 Received msg:37
666:14 Received msg:38
685:19 Received msg:39
704:19 Received msg:40
739:35 Received msg:41
759:20 Received msg:42
773:14 Received msg:43
783:10 Received msg:44
794:11 Received msg:45
803:9 Received msg:46
810:7 Received msg:47
820:10 Received msg:48
827:7 Received msg:49
833:6 Received msg:50
838:5 Received msg:51
843:5 Received msg:52
848:5 Received msg:53
853:5 Received msg:54
860:7 Received msg:55
866:6 Received msg:56
873:7 Received msg:57
880:7 Received msg:58
888:8 Received msg:59
893:5 Received msg:60
898:5 Received msg:61
922:24 Received msg:62
971:49 Received msg:63
1012:41 Received msg:64
1035:23 Received msg:65
1042:7 Received msg:66
1050:8 Received msg:67
1055:5 Received msg:68
1060:5 Received msg:69
1065:5 Received msg:70
1069:4 Received msg:71
1073:4 Received msg:72
1076:3 Received msg:73
1080:4 Received msg:74
1085:5 Received msg:75
1089:4 Received msg:76
1095:6 Received msg:77
1100:5 Received msg:78
1105:5 Received msg:79
1122:17 Received msg:80
1127:5 Received msg:81
1131:4 Received msg:82
1136:5 Received msg:83
1141:5 Received msg:84
1146:5 Received msg:85
1152:6 Received msg:86
1157:5 Received msg:87
1163:6 Received msg:88
1168:5 Received msg:89
1172:4 Received msg:90
1183:11 Received msg:91
1187:4 Received msg:92
1195:8 Received msg:93
1199:4 Received msg:94
1204:5 Received msg:95
1208:4 Received msg:96
1213:5 Received msg:97
1216:3 Received msg:98
1218:2 Received msg:99

Timestamp reset
0 Connected
Can receive previous retained messages
1:1 Sending msg:0
2:1 Sending msg:1
