Timestamp reset
0 Connected
Can receive synchronous retained messages
32:32 Subscribed
34:2 Sending msg:0
37:3 Sending msg:1
39:2 Sending msg:2
39:0 Sending msg:3
40:1 Sending msg:4
40:0 Sending msg:5
40:0 Sending msg:6
41:1 Sending msg:7
41:0 Sending msg:8
41:0 Sending msg:9
41:0 Sending msg:10
41:0 Sending msg:11
41:0 Sending msg:12
41:0 Sending msg:13
42:1 Sending msg:14
42:0 Sending msg:15
42:0 Sending msg:16
42:0 Sending msg:17
42:0 Sending msg:18
43:1 Sending msg:19
43:0 Sending msg:20
43:0 Sending msg:21
43:0 Sending msg:22
43:0 Sending msg:23
43:0 Sending msg:24
43:0 Sending msg:25
43:0 Sending msg:26
44:1 Sending msg:27
44:0 Sending msg:28
44:0 Sending msg:29
44:0 Sending msg:30
44:0 Sending msg:31
44:0 Sending msg:32
44:0 Sending msg:33
44:0 Sending msg:34
45:1 Sending msg:35
45:0 Sending msg:36
45:0 Sending msg:37
45:0 Sending msg:38
45:0 Sending msg:39
45:0 Sending msg:40
45:0 Sending msg:41
45:0 Sending msg:42
45:0 Sending msg:43
46:1 Sending msg:44
46:0 Sending msg:45
46:0 Sending msg:46
46:0 Sending msg:47
46:0 Sending msg:48
46:0 Sending msg:49
46:0 Sending msg:50
46:0 Sending msg:51
46:0 Sending msg:52
47:1 Sending msg:53
47:0 Sending msg:54
47:0 Sending msg:55
47:0 Sending msg:56
47:0 Sending msg:57
47:0 Sending msg:58
47:0 Sending msg:59
47:0 Sending msg:60
48:1 Sending msg:61
48:0 Sending msg:62
48:0 Sending msg:63
49:1 Sending msg:64
55:6 Sending msg:65
55:0 Sending msg:66
56:1 Sending msg:67
56:0 Sending msg:68
56:0 Sending msg:69
56:0 Sending msg:70
56:0 Sending msg:71
56:0 Sending msg:72
56:0 Sending msg:73
57:1 Sending msg:74
57:0 Sending msg:75
57:0 Sending msg:76
57:0 Sending msg:77
57:0 Sending msg:78
57:0 Sending msg:79
58:1 Sending msg:80
58:0 Sending msg:81
58:0 Sending msg:82
58:0 Sending msg:83
58:0 Sending msg:84
58:0 Sending msg:85
59:1 Sending msg:86
59:0 Sending msg:87
59:0 Sending msg:88
59:0 Sending msg:89
59:0 Sending msg:90
59:0 Sending msg:91
59:0 Sending msg:92
59:0 Sending msg:93
59:0 Sending msg:94
59:0 Sending msg:95
59:0 Sending msg:96
60:1 Sending msg:97
60:0 Sending msg:98
60:0 Sending msg:99
60:0 Sending msg:100
60:0 Sending msg:101
60:0 Sending msg:102
60:0 Sending msg:103
60:0 Sending msg:104
60:0 Sending msg:105
60:0 Sending msg:106
60:0 Sending msg:107
64:4 Sending msg:108
67:3 Sending msg:109
67:0 Sending msg:110
68:1 Sending msg:111
68:0 Sending msg:112
68:0 Sending msg:113
68:0 Sending msg:114
68:0 Sending msg:115
68:0 Sending msg:116
68:0 Sending msg:117
68:0 Sending msg:118
69:1 Sending msg:119
69:0 Sending msg:120
70:1 Sending msg:121
71:1 Sending msg:122
72:1 Sending msg:123
72:0 Sending msg:124
72:0 Sending msg:125
72:0 Sending msg:126
73:1 Sending msg:127
73:0 Sending msg:128
73:0 Sending msg:129
79:6 Sending msg:130
80:1 Sending msg:131
80:0 Sending msg:132
80:0 Sending msg:133
80:0 Sending msg:134
80:0 Sending msg:135
81:1 Sending msg:136
81:0 Sending msg:137
81:0 Sending msg:138
81:0 Sending msg:139
81:0 Sending msg:140
81:0 Sending msg:141
82:1 Sending msg:142
82:0 Sending msg:143
82:0 Sending msg:144
83:1 Sending msg:145
83:0 Sending msg:146
83:0 Sending msg:147
83:0 Sending msg:148
83:0 Sending msg:149
83:0 Sending msg:150
83:0 Sending msg:151
83:0 Sending msg:152
