

Timestamp reset
0 Connected
Can receive synchronous retained messages
34:34 Subscribed
35:1 Sending msg:0
38:3 Sending msg:1
39:1 Sending msg:2
39:0 Sending msg:3
40:1 Sending msg:4
40:0 Sending msg:5
40:0 Sending msg:6
40:0 Sending msg:7
40:0 Sending msg:8
40:0 Sending msg:9
40:0 Sending msg:10
40:0 Sending msg:11
40:0 Sending msg:12
40:0 Sending msg:13
41:1 Sending msg:14
41:0 Sending msg:15
41:0 Sending msg:16
41:0 Sending msg:17
41:0 Sending msg:18
41:0 Sending msg:19
41:0 Sending msg:20
42:1 Sending msg:21
42:0 Sending msg:22
42:0 Sending msg:23
42:0 Sending msg:24
42:0 Sending msg:25
42:0 Sending msg:26
42:0 Sending msg:27
42:0 Sending msg:28
42:0 Sending msg:29
42:0 Sending msg:30
42:0 Sending msg:31
42:0 Sending msg:32
43:1 Sending msg:33
43:0 Sending msg:34
43:0 Sending msg:35
44:1 Sending msg:36
45:1 Sending msg:37
45:0 Sending msg:38
45:0 Sending msg:39
45:0 Sending msg:40
45:0 Sending msg:41
45:0 Sending msg:42
45:0 Sending msg:43
45:0 Sending msg:44
45:0 Sending msg:45
45:0 Sending msg:46
46:1 Sending msg:47
46:0 Sending msg:48
46:0 Sending msg:49
47:1 Sending msg:50
47:0 Sending msg:51
47:0 Sending msg:52
47:0 Sending msg:53
47:0 Sending msg:54
47:0 Sending msg:55
47:0 Sending msg:56
47:0 Sending msg:57
47:0 Sending msg:58
47:0 Sending msg:59
48:1 Sending msg:60
48:0 Sending msg:61
48:0 Sending msg:62
48:0 Sending msg:63
49:1 Sending msg:64
51:2 Sending msg:65
51:0 Sending msg:66
51:0 Sending msg:67
51:0 Sending msg:68
51:0 Sending msg:69
51:0 Sending msg:70
51:0 Sending msg:71
51:0 Sending msg:72
52:1 Sending msg:73
52:0 Sending msg:74
52:0 Sending msg:75
52:0 Sending msg:76
52:0 Sending msg:77
52:0 Sending msg:78
52:0 Sending msg:79
52:0 Sending msg:80
52:0 Sending msg:81
52:0 Sending msg:82
53:1 Sending msg:83
53:0 Sending msg:84
53:0 Sending msg:85
53:0 Sending msg:86
53:0 Sending msg:87
53:0 Sending msg:88
54:1 Sending msg:89
54:0 Sending msg:90
55:1 Sending msg:91
