Timestamp reset
0 Connected
Can receive synchronous retained messages
191:191 Subscribed
192:1 Sending msg:0
194:2 Sending msg:1
195:1 Sending msg:2
195:0 Sending msg:3
195:0 Sending msg:4
195:0 Sending msg:5
195:0 Sending msg:6
195:0 Sending msg:7
195:0 Sending msg:8
195:0 Sending msg:9
195:0 Sending msg:10
196:1 Sending msg:11
196:0 Sending msg:12
196:0 Sending msg:13
196:0 Sending msg:14
196:0 Sending msg:15
196:0 Sending msg:16
196:0 Sending msg:17
196:0 Sending msg:18
197:1 Sending msg:19
197:0 Sending msg:20
197:0 Sending msg:21
197:0 Sending msg:22
197:0 Sending msg:23
197:0 Sending msg:24
197:0 Sending msg:25
197:0 Sending msg:26
198:1 Sending msg:27
198:0 Sending msg:28
198:0 Sending msg:29
198:0 Sending msg:30
198:0 Sending msg:31
198:0 Sending msg:32
198:0 Sending msg:33
198:0 Sending msg:34
198:0 Sending msg:35
199:1 Sending msg:36
199:0 Sending msg:37
199:0 Sending msg:38
199:0 Sending msg:39
199:0 Sending msg:40
199:0 Sending msg:41
199:0 Sending msg:42
199:0 Sending msg:43
199:0 Sending msg:44
199:0 Sending msg:45
199:0 Sending msg:46
199:0 Sending msg:47
200:1 Sending msg:48
200:0 Sending msg:49
200:0 Sending msg:50
200:0 Sending msg:51
200:0 Sending msg:52
200:0 Sending msg:53
200:0 Sending msg:54
200:0 Sending msg:55
201:1 Sending msg:56
201:0 Sending msg:57
201:0 Sending msg:58
201:0 Sending msg:59
201:0 Sending msg:60
201:0 Sending msg:61
201:0 Sending msg:62
202:1 Sending msg:63
205:3 Sending msg:64
211:6 Sending msg:65
212:1 Sending msg:66
212:0 Sending msg:67
212:0 Sending msg:68
212:0 Sending msg:69
212:0 Sending msg:70
212:0 Sending msg:71
212:0 Sending msg:72
212:0 Sending msg:73
213:1 Sending msg:74
213:0 Sending msg:75
213:0 Sending msg:76
213:0 Sending msg:77
213:0 Sending msg:78
214:1 Sending msg:79
